esfuerzo,Prueba,meditacion,reposo
0.139532471,,0.016499855,-0.153327471
0.171365074,,0.010133335,-0.172427032
0.190464635,,0.001856858,-0.159693991
0.177731594,,0.015226551,-0.191526594
0.177731594,,0.008860031,-0.197893114
0.196831156,,0.007586727,-0.197893114
0.171365074,,0.010133335,-0.210626155
0.190464635,,0.011406639,-0.210626155
0.196831156,,0.006313423,-0.236092237
0.203197676,,0.014589899,-0.216992675
0.184098115,,0.008223379,-0.236092237
0.177731594,,0.007586727,-0.229725716
0.133165951,,0.012679943,-0.210626155
0.133165951,,0.012043291,-0.229725716
0.139532471,,0.016499855,-0.236092237
0.094966828,,0.022866376,-0.216992675
0.082233787,,0.019046464,-0.236092237
0.056767705,,0.026686288,-0.216992675
0.024935103,,0.010769987,-0.242458757
0.024935103,,0.015863203,-0.229725716
-0.000530979,,0.012679943,-0.236092237
-0.0068975,,0.018409811,-0.236092237
-0.038730102,,0.012679943,-0.229725716
-0.064196184,,0.017773159,-0.223359196
-0.076929225,,0.017773159,-0.229725716
-0.089662266,,0.013953247,-0.197893114
-0.127861389,,0.005676771,-0.204259634
-0.14059443,,0.011406639,-0.191526594
-0.159693991,,-5.31e-05,-0.204259634
